username,strMainList,strTagsList,strAtUsersList,retweets
ActiveSpaces,"['Ce', 'samedi', '30', 'décembre', '2017', 'à', 'se', 'tiendra', 'une', 'conférence', 'sur', 'linnovation', 'et', 'lentrepreneuriat', 'entre', 'l']",[],['ActivSpaces'],4
ActiveSpaces,"['RT', 'Retour', 'en', 'vidéo', 'sur', 'la', 'visite', 'de', 'au', '22', '', 'la', 'Secrétaire', 'générale', 'de', 'la', 'évoque', 'sa']","['Benin', 'Francophonie']","['OIFfrancophonie', 'MichaelleJeanF']",27
ActiveSpaces,"['RT', 'LOIF', 'a', 'organisé', 'un', 'atelier', 'au', 'midécembre', 'sur', 'la', 'face', 'aux', 'enjeux', 'Une', '20aine', 'de']","['Senegal', 'critique', 'culturels', 'journa']",['OIFfrancophonie'],13
ActiveSpaces,"['Plus', 'que', 'deux', 'jours', 'et', 'les', 'inscriptions', 'seront', 'ouvertes', 'pour', 'le', 'programme', 'dincubation', 'Préparezvous']",[],[],5
ActiveSpaces,"['RT', 'Transform', 'your', 'idea', 'into', 'a', 'funded', 'startup']",[],['nlend_nyounai'],1
ActiveSpaces,"['RT', 'Si', 'tu', 'as', 'une', 'idée', 'et', 'tu', 'es', 'un', 'geek', 'entrepreneur', 'dans', 'lâme', 'ne', 'cherche', 'pas', 'trop', '']",[],['ElongWilliam'],6
ActiveSpaces,"['RT', 'AWESOME']",[],['chantaledie'],2
ActiveSpaces,"['A', 'la', 'SENUM', '2017', 'Aurélie', 'Adam', 'Soulé', 'Zoumarou', 'présente', 'les', 'avancées', 'du', 'numérique', 'au', 'Bénin']",[],[],1
ActiveSpaces,"['Le', 'Démo', 'Kids', 'qui', 'sest', 'tenu', 'à', 'le', '161217', 'était', 'une', 'opportunité', 'pour', 'les', 'enfants', 'de', 'présenter', 'ce', 'qu']",[],['ActivSpaces'],9
ActiveSpaces,"['RT', 'Top', '5', 'Nigerian', 'startup', 'developments', 'in', '2017']",[],"['DisruptAfrica', 'Cc_HUB']",2
ActiveSpaces,"['RT', 'Only', '40000', 'arrived', 'so', 'far', 'And', 'have', 'President', 'Paul', 'Biya', 'initials', 'imprinted', 'just', 'in', 'time', 'for', '2018', 'elections', '']",[],['africatechie'],52
ActiveSpaces,"['Télécoms', '', 'LAlgérie', 'a', 'lancé', 'son', 'premier', 'satellite']",[],[],0
ActiveSpaces,"['OIF', '', 'Michaëlle', 'Jean', 'explique', 'les', 'raisons', 'de', 'la', 'suspension', 'de', 'Kako', 'Nubukpo', 'le', 'directeur', 'de', 'la', 'francophonie', 'numériq']",[],[],1
ActiveSpaces,"['Côte', 'dIvoire', '', 'LIvoirolibanais', 'Sociam', 'lance', 'Nasco', 'sa', 'propre', 'marque', 'de', 'Smartphone']",[],[],1
ActiveSpaces,"['accueillera', 'bientôt', 'une', 'nouvelle', 'communauté', 'sur', 'le', 'Financement', 'Participatif', '']",['ActivSpacesHebdo'],['ActivSpaces'],5
ActiveSpaces,"['', 'ENTREPRENEURS', 'FOR', 'TOMORROW', '', 'a', 'désormais', 'sa', 'propre', 'émission', 'radio']",['ActivSpacesHebdo'],[],3
ActiveSpaces,"['lance', 'les', 'inscriptions', 'pour', 'son', 'programme', 'dincubation']",['ActivSpacesHebdo'],['ActivSpaces'],2
ActiveSpaces,"['RT', 'Douala', 'is', 'so', 'ready', 'for', 'this', 'We', 'are', 'sure', 'the', 'guys', 'at', 'are', 'already', 'thinking', 'about', 'it', 'cc']",[],"['ActivSpaces', 'googleafrica', 'Google', 'freethinking']",2
ActiveSpaces,"['RT', 'Douala', 'is', 'so', 'ready', 'for', 'this', 'We', 'are', 'sure', 'the', 'guys', 'at', 'are', 'already', 'thinking', 'about', 'it', 'cc']",[],"['ActivSpaces', 'googleafrica', 'Google', 'freethinking']",2
ActiveSpaces,"['Douala', 'is', 'so', 'ready', 'for', 'this', 'We', 'are', 'sure', 'the', 'guys', 'at', 'are', 'already', 'thinking', 'about', 'it', 'cc']",[],"['googleafrica', 'Google']",2
ActiveSpaces,"['RT', 'Félicitations', 'du', '2017', 'Awardee']","['Cameroon', 'Geneve']","['VymalaThuron', 'EduAirProject', 'FIREAfrica', 'AFRINIC', 'intgovforum']",6
ActiveSpaces,"['RT', 'A', 'partir', 'de', '2018', 'le', 'abritera', 'lune', 'des', '1ères', 'expériences', 'africaines', 'de', 'surveillance', 'épidémiologique', 'via', 'lin']",['Cameroun'],['InvestCameroun'],24
ActiveSpaces,"['RT', '', 'la', 'startup', 'microfinance', 'Awamo', 'lève', '17', 'millions', 'de', 'dollars']",['Ouganda'],['StartupBRICS'],2
ActiveSpaces,"['RT', 'RT', 'Félicitations', 'à', 'lauréat', 'en', 'pour', 'son', 'innovation', 'qui', 'réduit', 'la', 'fracture']","['EDFPulse', 'Afrique']","['ChangeonsLeJeu', 'EDFpulse', 'EduAirProject']",7
ActiveSpaces,"['RT', 'La', 'startup', 'camerounaise', 'Eduair', 'lauréate', 'du', 'Prix', 'EDF', 'Pulse', 'Africa', 'organisé', 'par', 'Electricité', 'de', 'France']",[],['InvestCameroun'],12
ActiveSpaces,"['Only', 'Douala', 'amp', 'Buea']",[],['Maxime_NJOH_'],1
ActiveSpaces,"['Les', 'inscriptions', 'se', 'feront', 'en', 'ligne', 'du', '28', 'décembre', '2017', 'au', '10', 'janvier', '2018']","['TransformYourIdea', 'Entrepreneuriat']",[],9
ActiveSpaces,"['RT', 'A', 'revoir', '', 'Portrait', '', 'Flavien', 'Kouatcha', '', '28', 'ans', 'CEO', 'de', 'Save', 'Our', 'Agriculture', '', 'une', 'Agritech', 'spécialisée', 'dans', 'laquapo']",[],['InvestCameroun'],14
ActiveSpaces,"['RT', 'The', 'true', 'Entrepreneur', 'is', 'a', 'doer', 'not', 'a', 'dreamer', 'https']","['InclusiveNigeria', 'BoxOfficeTuesday', 'MORNINGDRIVE', '9jaNewMediaIcons']",['EDC4SME'],24
ActiveSpaces,"['RT', 'It', 'is', 'yet', 'another', 'remarkable', 'feat', 'for', 'Ethiopian', 'Airlines', 'On', 'Saturday', 'it', 'will', 'have', 'the', 'first', 'ever', 'flight', 'operated', 'by']",[],['ThisIsAfricaTIA'],1038
ActiveSpaces,"['Dans', '08', 'jours', 'exactement', 'vous', 'aurez', 'accès', 'au', 'lien', 'dinscription', 'Saisissez', 'cette', 'opportunité', 'de', 'vous', 'faire', 'accompa']",[],[],2
ActiveSpaces,"['La', 'communauté', 'Entrepreneurs', 'For', 'Tomorrow', 'a', 'désormais', 'sa', 'propore', 'émission', 'radio', 'sur', 'la', 'chaîne', '1009', 'animé']",[],['BizgoF'],8
ActiveSpaces,"['Dès', 'le', '28', 'décembre', '2017', 'vous', 'aurez', 'le', 'lien', 'dinscription', 'qui', 'vous', 'permettra', 'de', 'soumettre', 'vos', 'candidatures', 'pour', 'le']",[],[],4
ActiveSpaces,"['RT', 'Gathering', 'soil', 'water', 'amp', 'climate', 'data', 'for', 'optimal', 'planning', 'of', 'irrigation', 'systems', 'during', 'MASHAVAFD_France', 'workshop', 'on', 'Pla']",[],['MASHAVisrael'],13
ActiveSpaces,"['RT', 'Africa', 'Summit', 'Kigali', 'Feb', '14th', 'and', '15th', '', 'Investing', 'in', 'African', 'From', 'Seed', 'to', 'Scale', '', 'early', 'bird', 'ends', 'Jan', '19th', 'http']",['Tech'],['AppsAfrica'],18
ActiveSpaces,"['RT', 'Not', 'only', 'are', 'we', 'giving', 'our', 'Ladies', 'the', 'skills', 'to', 'build', 'their', 'businesses', 'But', 'also', 'whenever', 'we', 'hear', 'of']",['ThisYearATiSpace'],['UnlockingWAT'],3
ActiveSpaces,"['RT', 'Le', 'panel', 'du', 'dans', 'le', 'cadre', 'de', 'la', 'abordera', 'limpact', 'du', 'Numérique', 'sur', 'la', 'vie', 'des', 'béninois', 'e']","['TalkShowNumérique', 'SENUM2017']",['Benin_Numerique'],9
ActiveSpaces,"['RT', 'The', 'AfriShopping', 'Exploring', 'the', 'African', 'Ecommerce', 'Startup', 'Ecosystem', 'Report', '2017']",[],['DisruptAfrica'],4
ActiveSpaces,"['RT', 'The', 'AfriShopping', 'Exploring', 'the', 'African', 'Ecommerce', 'Startup', 'Ecosystem', 'Report', '2017']",[],['DisruptAfrica'],4
